Занятость до перерождения,Внешность / раса,Навык / способность,Баф от бога(ов),Перерождение,Уникальный предмет,Главная слабость
офисный работник,полудракон,оживление статуй,шанс на редкие трофеи,сбил грузовик,говорящая кружка,аллергия на кошек
стример,наполовину слизь,музыкальные фейерверки,неуязвимость в пении,умер в прямом эфире,самонаводящийся микрофон,боится громких звуков
курьер,человек-ящерица,складывать пространство,иммунитет к ядам,стал редким монстром,живой рюкзак,не переносит холод
дегустатор сыров,гигантский кролик,управлять волосами,регенерация рядом с едой,умер от сыра,волшебная гитара,теряет силы в темноте
геймдизайнер,феникс-оборотень,манипуляция грибами,любовь всех животных,случайное перерождение,меч-камикадзе,зависим от грибов
учитель математики,летающий кит,контроль над ветром,невосприимчивость к болезням,божий эксперимент,бесконечный блокнот,боится высоты
бариста,каменный великан,создание иллюзий,увеличение урона ночью,подменён душой,волшебные очки,боится огня
студент-ботаник,русалка,телекинез,замедленное старение,вызван ритуалом,кольцо призыва,невосприимчив к шуткам
водитель такси,антропоморфный волк,заморозка воды,повышенная удача,упал в бездну,сапоги скорости,страх воды
спортсмен,минотавр,контроль огня,суперсила при дожде,умер от комара,плащ невидимости,гиперчувствительность к свету
шахматист,снежный человек,перемещение во времени,увеличение скорости в воде,умирающий маг выбрал тебя,древний меч,теряет магию при зевке
инженер,облако с глазами,умение летать,непроницаемая кожа,перерождение из-за ошибки,волшебная палочка,боится молний
флорист,сфинкс,превращение в тень,двойная атака против монстров,попал в ловушку,арбалет тьмы,не выносит одиночества
блогер,киборг,воскрешение мёртвых,всегда знаешь дорогу,переродился после аномалии,щит света,зависим от музыки
парикмахер,гибрид кошки и совы,превращение в животных,неиссякаемая энергия,"умирая, заключил контракт",портальная книга,слабость к золоту
рыбак,лесной дух,чтение мыслей,быстрое восстановление магии,сбежал от смерти,камень возрождения,боится насекомых
писатель,фея,увеличение скорости,бесконечный запас пищи,неудачное испытание артефакта,амулет защиты,аллергия на магию
продавец,кентавр,взрыв на расстоянии,барьер против стрел,жертва магии времени,безразмерный мешок,страх перед зеркалами
стоматолог,гном,создание порталов,защита от заклинаний,"умирая, спас мир",шляпа мага,слабость к меду
пожарный,гоблин,излечение болезней,увеличение интеллекта,случайное вмешательство бога,перо истины,боится крови
повар,эльф,манипуляция металлом,любовь детей,грешная душа получила шанс,магический браслет,усталость от тепла
солдат,дриада,создание щитов,бонус к дипломатии,призван древним духом,амулет исцеления,слаб к холоду
библиотекарь,вампир,поглощение урона,сопротивление огню,"умирая, призвал себя в мир",руны силы,теряет силы под дождём
фермер,оборотень,невидимость,сопротивление холоду,"умирая, обменял душу",маска иллюзий,боится собак
аниматор,огр,память на века,сопротивление электричеству,спасён волшебником,песочные часы времени,страх перед птицами
детектив,ламия,ускорение роста растений,улучшенная регенерация,неудачное испытание артефакта,часы перемещения,боится насекомых
архитектор,скелет,призыв оружия,нет усталости,"умирая, спас мир",живой рюкзак,боится собак
доктор,тролль,оживление предметов,увеличенный прыжок,умер от комара,руны силы,слаб к холоду
механик,дракон,управление временем,защита от ядов,вызван ритуалом,руны силы,аллергия на кошек
музыкант,грифон,дыхание под водой,увеличение урона ночью,"умирая, призвал себя в мир",магический браслет,слаб к холоду
скульптор,виверна,память на века,замедленное старение,жертва магии времени,руны силы,аллергия на кошек
Учитель,Карликовый огр,Контроль над гравитацией,Непревзойденный вкус к подбору головных уборов,Проиграл душу в карты,"Поджигающий меч","Способность обжечься даже об лед"
Ученик,Пьяная фея,Испускание света из ладоней,Магнетизм для крошечных предметов,Божественная ошибка при садоводстве,"Вечная яичница","Ненависть к острым углам мебели"
Воспитатель,Злобный эльфийский кошкочел,Превращение в тень,Искусство завязывать веревки без узлов,Сбил поезд,"Мантия, превращающая в феечку","Мгновенно засыпает при упоминании математики"
Инженер,Ледяной гоблин,Создание маленьких черных дыр,Дар заставлять облака принимать нужную форму,Самолет разбился,"Рюмка огровой водки","Не может пройти мимо острого перца без слез"
Программист,Радужный тролль,Хождение по стенам,Понимание всех диалектов шепота,Подавился сыром,"Кубок бесконечного мёда","Чихает при виде красного цвета"
Врач,Пламенный элементаль,Ускорение времени для себя,Невиданная ловкость в плетении корзин,Захлебнулся при чистке зубов,"Шляпа, испускающая радугу","Считает, что обнимашки решают всё"
Медсестра,Теневой драконид,Контроль над насекомыми,Невероятная устойчивость к сквознякам,Погиб на пенной вечеринке,"Сапоги, оставляющие цветочные следы","Неравнодушен к милым вещам, включая монстров"
Юрист,Ползучий слизеносец,Удар молнии из глаз,Талант создавать идеальные тени на солнце,Споткнулся о кошку и упал с крыши,"Камень, который шепчет тайны","Постоянно забывает собственное имя"
Судья,Лесной сатир,Подводное дыхание,Ускоренная очистка воды взглядом,Загрызли злобные утки,"Щит, отражающий мысли противника","Притягивает всех странных людей в радиусе 5 километров"
Полицейский,Ржавый голем,Создание оружия из воздуха,Природное влечение птиц к вашему плечу,Утонул в бассейне из желе,"Котелок, варящий суп из воздуха","Всегда теряет обувь в критический момент"
Пожарный,Гремящий циклоп,Управление растениями,Талант выбирать самый мягкий песок,"Ошибся дверью, попал в портал и исчез навсегда","Лук, стреляющий пчёлами","Заикается, когда произносит слово "любовь""
Архитектор,Лунный ликантроп,Телепортация на короткие дистанции,Дар продлевать свежесть фруктов одним касанием,Случайно активировал артефакт Судного дня,"Кисть, рисующая на небе","Не может усидеть на месте, если слышит музыку"
Строитель,Медный кентавр,Считывание мыслей,Умение превращать каждое прикосновение в шедевр искусства,Упал в бездонный колодец,"Флейта, вызывающая дождь","Лутоман с манией собирать всё, что блестит"
Дизайнер,Туманный вампир,Взрывание предметов взглядом,Постоянно ровные рукописи,Проиграл магическую дуэль,"Кольцо, превращающее врага в лягушку","Панически боится пауков, даже если они нарисованы"
Художник,Крылатый дикобраз,Левитация мелких объектов,Притяжение рыб к сети,Проклятие превратило в камень,"Меч, поющий на поле битвы","Ужасно поёт, но делает это с энтузиазмом"
Музыкант,Каменный дух,Создание иллюзий,Способность создавать уют на любом месте,Погиб от атаки гигантской конфеты,"Книга, которая пишет сама себя","Алкоголик, способный напиться даже от капли воды"
Актер,Электрический эльф,Хождение по воде,Устойчивость к укусам насекомых,"Застрял в лифте, который исчез в другую вселенную","Очки, позволяющие видеть сквозь время","Не переносит сильных ароматов, особенно лаванды"
Режиссер,Гравитационный человек,Мгновенная регенерация,Искусство распознавать поддельные улыбки,Напоролся на огромный кактус,"Фонарь, светящийся лунным светом","Забывает свои слабости и постоянно на них попадается"
Писатель,Огненный саламандр,Видение в темноте,Непобедимая чистота обуви,Упал в вулкан во время экскурсии,"Мешок, полный ночных звёзд","Не может смотреть на часы без ощущения, что опаздывает"
Журналист,Кристаллический змей,Превращение в зверей,Легкость в поиске скрытых троп,Попал под гигантскую ножку робота,"Кресло, читающее мысли","Всегда путает правую и левую сторону"
Фотограф,Чёрный феникс,Испускание огненных шаров,Талант к быстрому созреванию растений,Ошибся в заклинании телепортации и разорвался на части,"Амулет, который притягивает воронов","Склонен бормотать заклинания во сне"
Маркетолог,Токсичный оборотень,Неуязвимость к холоду,Невероятный вкус на незаметные детали в моде,Захлебнулся при попытке выпить фонтан,"Гарпун, способный тянуть облака","Всегда ломает очки"
Рекламный агент,Древесный титан,Ускоренное лечение других,Способность притягивать светлячков,Раздавлен упавшим пианино,"Табакерка, выпускающая миниатюрных дракончиков","Боится громких звуков и хлопков"
Бухгалтер,Солнечный гарпий,Смена формы своего тела,Дар оставаться сухим под дождем,Проглотил ожившее мороженое,"Ключ, открывающий любые двери","Не может сидеть спиной к двери"
Экономист,Пепельный некромант,Сверхчувствительный слух,Умение выбирать самые сладкие ягоды,"Напал на голема, не зная, что он бессмертный","Шарф, который меняет погоду","Не может отказать в помощи даже злодеям"
Финансист,Болотный русал,Управление магнитными полями,Естественная гармония с ветром,Упал в яму с бесконечным экстримом,"Перчатки, оживляющие камни","Спотыкается на ровном месте"
Предприниматель,Алый астралгном,Разговор с животными,Умение быстро находить утерянные вещи,Загрызли кролики-мутанты,"Часы, возвращающие потерянное время","Панически боится воздушных шаров"
Менеджер по продажам,Ледяной голем,Удержание дыхания на долгий срок,Способность согревать воду в руках,Попал в ядро магического взрыва,"Куст, произрастающий на шляпе","Не может пройти мимо полок с комиксами"
Специалист по закупкам,Дымчатый демонид,Создание кристаллов,Очарование всех без исключения собак,Случайно стал жертвой своего же заклинания,"Молот, приглашающий гром","Постоянно теряет всё, кроме плохого настроения"
Библиотекарь,Песчаный сирен,Сверхскоростное чтение,Чувствительность к подземным источникам,Задавлен гигантским тортиком на фестивале,"Перо, записывающее сны","Легко попадает под чужое влияние"
Ученый,Скелетный алхимик,Защита от психических атак,Талант к спонтанному созданию мелодий,Взрыв фейерверков,"Кубик, играющий за себя в азартные игры","Способен обжечься даже об котика"
Химик,Металлический киборг,Эхо-локация,Синхронность с ритмом волн,Задохнулся от слишком сильных духов,"Карта, показывающая путь к невозможным местам","Не может перестать троллить даже в опасной ситуации"
Физик,Шерстяной дракон,Создание зеркальных двойников,Искусство находить самые гладкие камни,"Погиб, пытаясь приручить дракона","Топор, который никогда не тупится","Постоянно ест сладости, даже если отравлен"
Биолог,Водяной эльф,Обращение времени вспять на несколько секунд,Обаяние на диких животных,Умер от смеха во время комедийного шоу,"Плащ, создающий иллюзии","Льёт слёзы, когда видит снег"
Математик,Грозовой великан,Создание порталов,Ускоренная заживляемость мелких порезов,Случайно продал душу злому духу,"Ложка, превращающая суп в золото","Не умеет скрывать эмоции"
Лаборант,Угловатый пикси,Управление песком,Притягательность золота в радиусе,Утонул в огромной чашке чая,"Маска, дарующая голос чужих существ","Боится зеркал, особенно ночью"
Исследователь,Парящий тролль,Поглощение урона и преобразование в силу,Умение предугадывать рассветы,Раздавлен гигантской книгой,"Рукавицы, способные сжимать пламя","Забывает, как дышать, когда злится"
Летчик,Бронзовый грифон,Превращение в жидкость,Дар внушать уверенность одним взглядом,Попал под лавину плюшевых мишек,"Скамейка, исполняющая желания (но только странные)","Любит эльфийские юбки больше, чем нужно"
Стюардесса,Живой обелиск,Управление погодой,Неуязвимость к плесени,Случайно запустил магический ритуал самоуничтожения,"Перо, способное приручить грозу","Заикается, когда лжет"
Моряк,Умный слизень,Сверхскоростное движение,Создание ароматов на ходу,Превратился в статую при взгляде на Медузу,"Медальон, показывающий самые странные страхи","Умеет слишком хорошо танцевать, и это мешает сражениям"
Водитель,Стеклянный голем,Оживление предметов,Постоянно мягкие волосы,"Погиб, спасая падающую звезду","Ботинки, способные прыгать на вершины деревьев","Плохо держит баланс, даже если стоит неподвижно"
Механик,Ядовитый кобольд,Генерация ядовитого газа,Восстановление ткани при касании,Споткнулся о свой же меч и упал с обрыва,"Кольцо, управляемое эмоциями владельца","Ненавидит запах свежего хлеба"
Электрик,Лунатический орк,Телепатическое общение,Умение создавать симметрию из хаоса,Погиб в ловушке с бесконечными лазерами,"Жезл, превращающий снег в цветы","Всегда берёт на себя больше, чем может вынести"
Сантехник,Золотой призрак,Создание звуковых волн,Подсознательная способность отличать настоящее от иллюзий,Попал в водоворот магической энергии,"Корзина, не дающая улететь ветру","Слишком долго размышляет над любым решением"
